Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burundi,BDI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,171.2554167,181.5125833,208.3026667,242.78,252.6625,249.7575,302.7466667,352.3508333,447.7658333,563.5625,720.6733333,830.3533333,930.7491667,1082.62,1100.9,1081.577167,1028.683553,1081.869683,1185.690833,1230.179167,1230.748333,1261.073333,1442.505625,1555.090833,1546.686667,1571.898333,1654.626667,1729.055
Cabo Verde,CPV,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,70.03133333,71.40833333,68.01758333,80.42659736,81.89083333,76.85333333,82.59146667,93.17666667,98.1575,102.7,115.8765516,123.2133333,117.2558333,97.7875,88.7479249,88.64616853,87.92606491,80.61502716,75.33600384,80.03541773,83.27868938,79.27688148,86.31895418,83.0725,83.0345,99.38569354,99.68811364,97.80693777
Cambodia,KHM,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,426.25,718.3333333,1266.583333,2689,2545.25,2450.833333,2624.083333,2946.25,3744.416667,3807.833333,3840.75,3916.333333,3912.083333,3973.333333,4016.25,4092.5,4103.25,4056.166667,4054.166667,4139.333333,4184.916667,4058.5,4033,4027.25,4037.5,4067.75,4058.694579,4050.579986
Cameroon,CMR,Real effective exchange rate index (2010 = 100),PX.REX.REER,152.7153931,145.6752271,146.5646125,136.3259994,88.20943879,94.79019896,95.86442984,94.91067151,98.24422979,97.22761671,91.66899112,94.77304436,98.16946135,101.3540943,101.3291714,98.74865022,100.3428903,101.3407248,104.4491858,106.6575533,100,100.1690407,96.51165084,99.48109478,100.6935139,97.77277585,99.66494821,99.87598806
Cameroon,CMR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529,591.4495075,593.0081704,582.0945501
Canada,CAN,Real effective exchange rate index (2010 = 100),PX.REX.REER,101.9037462,104.7877722,96.10335493,89.84793874,82.09031966,79.41417463,80.27880661,79.51388859,74.89682721,73.99192471,74.37970919,72.18987853,71.6114091,79.61210042,83.99228758,89.41768568,94.4899834,97.69832808,95.34828355,90.69790568,100,102.015056,101.7483141,98.42232903,92.17390465,84.09727897,82.07679626,83.39319586
Canada,CAN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.166775,1.145716667,1.208725,1.290074167,1.365638333,1.372440833,1.363468333,1.384616667,1.483463083,1.485731667,1.48511,1.548760833,1.569318333,1.401051667,1.301019167,1.211763333,1.134363333,1.074099167,1.06704,1.143100557,1.030162783,0.989530692,0.99918831,1.02979657,1.106104944,1.279097896,1.325399636,1.297736517
Cayman Islands,CYM,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
